date,instrument,expiry_date,option_type,strike,spot_at_arm,arm_time,arm_premium,spot_at_entry,entry_time,entry_price,entry_trigger_close,spot_at_exit,exit_time,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2025-03-11,SENSEX,2025-03-11,PE,74100,74132.57,14:47,18.0,74095.63,14:55,41.4,41.05,74108.35,15:00,15.0,SL,-26.4,-1056.0,40
2025-03-25,SENSEX,2025-03-25,CE,78100,78115.07,14:57,71.35,78061.47,14:58,70.0,71.35,78061.47,14:58,80.0,TP,10.0,400.0,40
2025-04-22,SENSEX,2025-04-22,PE,79600,79614.58,14:04,19.35,79518.31,14:48,44.05,41.0,79596.84,14:55,15.0,SL,-29.049999999999997,-1162.0,40
2025-06-10,SENSEX,2025-06-10,PE,82400,82430.93,14:38,18.85,82384.95,15:03,40.15,40.95,82420.09,15:09,15.0,SL,-25.15,-1006.0,40
2025-07-08,SENSEX,2025-07-08,CE,83500,83483.49,14:21,19.85,83536.36,14:59,43.05,44.35,83637.43,15:00,80.0,TP,36.95,1478.0,40
2025-07-08,SENSEX,2025-07-08,CE,83600,83637.43,15:00,18.8,83636.2,15:04,43.05,41.8,83716.79,15:06,80.0,TP,36.95,1478.0,40
2025-07-22,SENSEX,2025-07-22,PE,82200,82241.32,14:50,18.55,82176.88,15:04,39.2,42.0,82188.3,15:09,15.0,SL,-24.200000000000003,-968.0000000000001,40
2025-07-29,SENSEX,2025-07-29,CE,81200,81156.8,14:50,19.4,81246.09,14:56,61.35,60.0,81246.09,14:56,80.0,TP,18.65,746.0,40
2025-07-29,SENSEX,2025-07-29,CE,81200,81187.86,14:58,19.5,81259.22,15:02,51.05,51.2,81310.42,15:04,80.0,TP,28.950000000000003,1158.0,40
2025-08-26,SENSEX,2025-08-26,PE,80900,80944.89,14:46,16.65,80848.51,15:02,39.8,42.75,80810.8,15:04,80.0,TP,40.2,1608.0,40
2025-09-18,SENSEX,2025-09-18,CE,82900,82854.48,14:49,17.35,82902.99,14:54,50.25,51.9,82929.53,15:00,80.0,TP,29.75,1190.0,40
2025-10-01,SENSEX,2025-10-01,PE,81000,81015.12,14:53,19.4,80977.77,14:58,44.9,44.15,81007.68,15:15,38.95,EOD,-5.949999999999996,-237.99999999999983,40
2025-10-23,SENSEX,2025-10-23,PE,84700,84744.89,14:58,19.7,84581.13,15:03,41.8,42.25,84581.13,15:03,80.0,TP,38.2,1528.0,40
2025-10-30,SENSEX,2025-10-30,PE,84400,84433.29,15:00,16.95,84399.98,15:03,45.4,47.45,84443.44,15:13,15.0,SL,-30.4,-1216.0,40
2025-11-06,SENSEX,2025-11-06,PE,83400,83425.95,14:57,18.85,83342.03,15:04,58.0,53.4,83306.16,15:05,80.0,TP,22.0,880.0,40
2026-01-08,SENSEX,2026-01-08,PE,84300,84349.77,14:48,17.3,84234.03,15:00,44.65,49.6,84218.13,15:01,80.0,TP,35.35,1414.0,40
2026-01-22,SENSEX,2026-01-22,PE,82200,82221.22,15:00,49.8,82140.27,15:01,51.2,49.8,82140.27,15:01,80.0,TP,28.799999999999997,1152.0,40
